generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9809246,0.91416115,0.01907531,69.2,0.0,-1.5839353032112122,0.5141610774517059,1.0,0.12
1,0.99404883,0.9732195,0.0059512197,22.2,0.0,-1.188337867307663,0.5732194789648056,1.0,0.12
2,0.99854743,0.9934639,0.0014524839,4.8,0.0,-1.039791374206543,0.5934637869000435,1.0,0.12
3,0.99936146,0.9971266,0.00063852913,2.2,0.0,-1.018392310833931,0.5971265834331513,1.0,0.12
4,0.99941087,0.99734885,0.0005891651,2.2,0.0,-1.0186695497512817,0.597348721587658,1.0,0.12
5,0.99987245,0.99942577,0.00012759148,0.2,0.0,-1.0012787956476212,0.5994258025407792,1.0,0.12
6,0.9996127,0.99825704,0.00038732353,1.2,0.0,-1.0098116222858429,0.598257008433342,1.0,0.12
7,0.99967265,0.99852705,0.0003273303,1.0,0.0,-1.0081505846738816,0.5985269781589508,1.0,0.12
8,0.9995299,0.9978847,0.00047006502,1.8,0.0,-1.015344132566452,0.5978846716523171,1.0,0.12
9,0.9997209,0.99874383,0.00027915512,0.8,0.0,-1.006422773885727,0.5987437662601471,1.0,0.12
